@relation baseball

@attribute 'STADIUM' string
@attribute 'PLAYER' string
@attribute 'PLAYERTEAM' string
@attribute 'PITCHER' string
@attribute 'PITCHERTEAM' string

@data
桃園,陳俊秀,Lamigo,歐文,中信兄弟
桃園,陳金鋒,Lamigo,歐文,中信兄弟
桃園,蔣智賢,中信兄弟,羅曼,Lamigo
桃園,林承飛,Lamigo,邱品睿,中信兄弟
桃園,林智勝,中信兄弟,索爾,Lamigo
桃園,林智勝,中信兄弟,索爾,Lamigo
桃園,張正偉,中信兄弟,林柏佑,Lamigo
新莊,潘武雄,統一7-ELEVEn,鄭凱文,中信兄弟
新莊,高國慶,統一7-ELEVEn,周磊,中信兄弟
澄清湖,詹智堯,Lamigo,羅力,義大
澄清湖,陳俊秀,Lamigo,張耿豪,義大
澄清湖,高國輝,義大,林國裕,Lamigo
花蓮,張志豪,中信兄弟,江辰晏,統一7-ELEVEn
花蓮,潘武雄,統一7-ELEVEn,悍德,中信兄弟
花蓮,蔣智賢,中信兄弟,江辰晏,統一7-ELEVEn
花蓮,林志祥,統一7-ELEVEn,謝榮豪,中信兄弟
花蓮,飛力士,統一7-ELEVEn,謝榮豪,中信兄弟
澄清湖,蔣智賢,中信兄弟,倪福德,義大
斗六,林泓育,Lamigo,吉爾,統一7-ELEVEn
斗六,唐肇廷,統一7-ELEVEn,羅曼,Lamigo
澄清湖,周思齊,中信兄弟,蔡明?,義大
嘉義市,王柏融,Lamigo,布魯斯,統一7-ELEVEn
澄清湖,蔣智賢,中信兄弟,羅力,義大
嘉義市,陳俊秀,Lamigo,江承峰,統一7-ELEVEn
桃園,張志豪,中信兄弟,郭駿傑,Lamigo
新莊,林志祥,統一7-ELEVEn,力猛,義大
新莊,林哲瑄,義大,林子崴,統一7-ELEVEn
新莊,張建銘,義大,林其緯,統一7-ELEVEn
新莊,劉芙豪,統一7-ELEVEn,蕭一傑,義大
新莊,鄭鎧文,統一7-ELEVEn,林羿豪,義大
桃園,高國輝,義大,羅曼,Lamigo
洲際,林智勝,中信兄弟,江辰晏,統一7-ELEVEn
洲際,劉芙豪,統一7-ELEVEn,悍德,中信兄弟
洲際,林智勝,中信兄弟,邱子愷,統一7-ELEVEn
洲際,許基宏,中信兄弟,林家瑋,統一7-ELEVEn
洲際,潘武雄,統一7-ELEVEn,邱品睿,中信兄弟
洲際,鄭鎧文,統一7-ELEVEn,林煜清,中信兄弟
洲際,羅國龍,統一7-ELEVEn,林煜清,中信兄弟
桃園,陳俊秀,Lamigo,蔡明?,義大
